algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
std_sort,10,aleatorio,D1,b,12,2000,4.475e-05,40,5275648,1
std_sort,10,aleatorio,D1,b,13,2000,5.685e-05,40,5275648,1
std_sort,10,aleatorio,D1,b,14,2000,4.495e-05,40,5275648,1
std_sort,10,aleatorio,D1,b,15,2000,3.605e-05,40,5275648,1
merge_sort,10,aleatorio,D1,b,1,2000,8.835e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,2,2000,9.405e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,3,2000,8.86e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,4,2000,8.805e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,5,2000,8.805e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,6,2000,8.82e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,7,2000,8.985e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,8,2000,8.71e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,9,2000,8.705e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,10,2000,8.705e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,11,2000,8.93e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,12,2000,8.72e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,13,2000,8.74e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,14,2000,8.925e-05,80,5283840,1
merge_sort,10,aleatorio,D1,b,15,2000,8.925e-05,80,5283840,1
quick_sort,10,aleatorio,D1,b,1,2000,6.535e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,2,2000,6.595e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,3,2000,6.58e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,4,2000,6.575e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,5,2000,6.545e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,6,2000,6.565e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,7,2000,6.565e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,8,2000,6.55e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,9,2000,6.57e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,10,2000,6.575e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,11,2000,6.56e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,12,2000,6.595e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,13,2000,6.55e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,14,2000,6.575e-05,40,5283840,1
quick_sort,10,aleatorio,D1,b,15,2000,6.575e-05,40,5283840,1
patience_sort,10,aleatorio,D1,b,1,2000,0.0001714,360,5283840,1
patience_sort,10,aleatorio,D1,b,2,2000,0.00016775,360,5283840,1
patience_sort,10,aleatorio,D1,b,3,2000,0.00016805,360,5283840,1
patience_sort,10,aleatorio,D1,b,4,2000,0.00016825,360,5283840,1
patience_sort,10,aleatorio,D1,b,5,2000,0.00016845,360,5283840,1
patience_sort,10,aleatorio,D1,b,6,2000,0.0001696,360,5283840,1
patience_sort,10,aleatorio,D1,b,7,2000,0.00016785,360,5283840,1
patience_sort,10,aleatorio,D1,b,8,2000,0.0001685,360,5283840,1
patience_sort,10,aleatorio,D1,b,9,2000,0.0001679,360,5283840,1
patience_sort,10,aleatorio,D1,b,10,2000,0.0001695,360,5283840,1
patience_sort,10,aleatorio,D1,b,11,2000,0.0001676,360,5283840,1
patience_sort,10,aleatorio,D1,b,12,2000,0.00017035,360,5283840,1
patience_sort,10,aleatorio,D1,b,13,2000,0.00016905,360,5283840,1
patience_sort,10,aleatorio,D1,b,14,2000,0.00016895,360,5283840,1
patience_sort,10,aleatorio,D1,b,15,2000,0.0001703,360,5283840,1
std_sort,10,aleatorio,D1,c,1,2000,4.21e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,2,2000,4.2e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,3,2000,4.15e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,4,2000,4.13e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,5,2000,4.19e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,6,2000,4.2e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,7,2000,4.2e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,8,2000,4.17e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,9,2000,4.175e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,10,2000,4.175e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,11,2000,4.145e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,12,2000,4.185e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,13,2000,4.14e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,14,2000,4.135e-05,40,5283840,1
std_sort,10,aleatorio,D1,c,15,2000,4.14e-05,40,5283840,1
merge_sort,10,aleatorio,D1,c,1,2000,9.01e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,2,2000,8.795e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,3,2000,8.79e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,4,2000,8.8e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,5,2000,8.83e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,6,2000,8.83e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,7,2000,8.965e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,8,2000,8.805e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,9,2000,8.885e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,10,2000,8.855e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,11,2000,9.315e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,12,2000,9.05e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,13,2000,8.86e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,14,2000,9e-05,80,5283840,1
merge_sort,10,aleatorio,D1,c,15,2000,8.79e-05,80,5283840,1
quick_sort,10,aleatorio,D1,c,1,2000,6.47e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,2,2000,6.39e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,3,2000,6.465e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,4,2000,6.405e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,5,2000,6.525e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,6,2000,6.49e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,7,2000,6.63e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,8,2000,6.5e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,9,2000,6.535e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,10,2000,6.505e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,11,2000,6.505e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,12,2000,6.455e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,13,2000,6.79e-05,40,5283840,1
quick_sort,10,aleatorio,D1,c,14,2000,6.63e-05,40,5283840,1
