algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
strassen,16,densa,D0,c,6,200,0.001348,2048,5132288,64,1
strassen,16,densa,D0,c,7,200,0.0012395,2048,5132288,64,1
strassen,16,densa,D0,c,8,200,0.001269,2048,5132288,64,1
strassen,16,densa,D0,c,9,200,0.001237,2048,5132288,64,1
strassen,16,densa,D0,c,10,200,0.0012385,2048,5132288,64,1
strassen,16,densa,D0,c,11,200,0.001258,2048,5132288,64,1
strassen,16,densa,D0,c,12,200,0.0012375,2048,5132288,64,1
strassen,16,densa,D0,c,13,200,0.001237,2048,5132288,64,1
strassen,16,densa,D0,c,14,200,0.001236,2048,5132288,64,1
strassen,16,densa,D0,c,15,200,0.0012375,2048,5132288,64,1
naive,16,densa,D10,a,1,200,0.001231,2048,5132288,64,1
naive,16,densa,D10,a,2,200,0.001254,2048,5132288,64,1
naive,16,densa,D10,a,3,200,0.0012295,2048,5132288,64,1
naive,16,densa,D10,a,4,200,0.0012295,2048,5132288,64,1
naive,16,densa,D10,a,5,200,0.0012295,2048,5132288,64,1
naive,16,densa,D10,a,6,200,0.001227,2048,5132288,64,1
naive,16,densa,D10,a,7,200,0.0012275,2048,5132288,64,1
naive,16,densa,D10,a,8,200,0.001227,2048,5132288,64,1
naive,16,densa,D10,a,9,200,0.00123,2048,5132288,64,1
naive,16,densa,D10,a,10,200,0.001246,2048,5132288,64,1
naive,16,densa,D10,a,11,200,0.0012305,2048,5132288,64,1
naive,16,densa,D10,a,12,200,0.001415,2048,5132288,64,1
naive,16,densa,D10,a,13,200,0.0013865,2048,5132288,64,1
naive,16,densa,D10,a,14,200,0.0012295,2048,5132288,64,1
naive,16,densa,D10,a,15,200,0.0012295,2048,5132288,64,1
strassen,16,densa,D10,a,1,200,0.001235,2048,5132288,64,1
strassen,16,densa,D10,a,2,200,0.001236,2048,5132288,64,1
strassen,16,densa,D10,a,3,200,0.00126,2048,5132288,64,1
strassen,16,densa,D10,a,4,200,0.001234,2048,5132288,64,1
strassen,16,densa,D10,a,5,200,0.001236,2048,5132288,64,1
strassen,16,densa,D10,a,6,200,0.0012365,2048,5132288,64,1
strassen,16,densa,D10,a,7,200,0.001236,2048,5132288,64,1
strassen,16,densa,D10,a,8,200,0.0012355,2048,5132288,64,1
strassen,16,densa,D10,a,9,200,0.0012355,2048,5132288,64,1
strassen,16,densa,D10,a,10,200,0.001235,2048,5132288,64,1
strassen,16,densa,D10,a,11,200,0.0012505,2048,5132288,64,1
strassen,16,densa,D10,a,12,200,0.001238,2048,5132288,64,1
strassen,16,densa,D10,a,13,200,0.001238,2048,5132288,64,1
strassen,16,densa,D10,a,14,200,0.0012375,2048,5132288,64,1
strassen,16,densa,D10,a,15,200,0.001239,2048,5132288,64,1
naive,16,densa,D10,b,1,200,0.001233,2048,5132288,64,1
naive,16,densa,D10,b,2,200,0.001235,2048,5132288,64,1
naive,16,densa,D10,b,3,200,0.0012315,2048,5132288,64,1
naive,16,densa,D10,b,4,200,0.001279,2048,5132288,64,1
naive,16,densa,D10,b,5,200,0.001361,2048,5132288,64,1
